iter	Passed	Remaining
555	1785	1425
556	1788	1422
557	1791	1418
558	1793	1414
559	1796	1411
560	1800	1408
561	1803	1405
562	1805	1401
563	1809	1398
564	1812	1395
565	1815	1392
566	1819	1389
567	1823	1386
568	1826	1383
569	1829	1380
570	1833	1377
571	1837	1374
572	1839	1371
573	1842	1367
574	1845	1364
575	1849	1361
576	1852	1358
577	1855	1354
578	1857	1350
579	1860	1347
580	1863	1343
581	1867	1341
582	1870	1338
583	1873	1334
584	1877	1331
585	1881	1328
586	1885	1326
587	1889	1323
588	1892	1320
589	1894	1316
590	1898	1313
591	1900	1310
592	1903	1306
593	1905	1302
594	1908	1299
595	1910	1295
596	1914	1292
597	1917	1289
598	1920	1285
599	1923	1282
600	1926	1278
601	1928	1274
602	1931	1271
603	1935	1268
604	1938	1265
605	1940	1261
606	1942	1257
607	1946	1255
608	1948	1251
609	1951	1247
610	1955	1244
611	1958	1241
612	1960	1237
613	1964	1234
614	1967	1231
615	1970	1228
616	1972	1224
617	1975	1220
618	1979	1218
619	1982	1214
620	1984	1211
621	1987	1207
622	1993	1206
623	1996	1202
624	1999	1199
625	2002	1196
626	2004	1192
627	2007	1189
628	2011	1186
629	2015	1183
630	2018	1180
631	2021	1177
632	2024	1173
633	2028	1171
634	2032	1168
635	2035	1164
636	2038	1161
637	2042	1158
638	2046	1155
639	2049	1153
640	2053	1150
641	2056	1147
642	2062	1144
643	2065	1141
644	2068	1138
645	2071	1135
646	2073	1131
647	2077	1128
648	2080	1125
649	2083	1121
650	2086	1118
651	2089	1115
652	2094	1112
653	2097	1109
654	2100	1106
655	2103	1103
656	2105	1099
657	2109	1096
658	2112	1093
659	2114	1089
660	2117	1086
661	2120	1082
662	2124	1079
663	2128	1076
664	2152	1084
665	2162	1084
666	2169	1082
667	2173	1080
668	2176	1076
669	2186	1076
670	2194	1076
671	2197	1072
672	2200	1069
673	2203	1065
674	2208	1063
675	2211	1059
676	2214	1056
677	2217	1053
678	2220	1049
679	2223	1046
680	2226	1043
681	2228	1039
682	2230	1035
683	2233	1031
684	2235	1027
685	2238	1024
686	2241	1021
687	2244	1017
688	2247	1014
689	2251	1011
690	2254	1008
691	2257	1004
692	2260	1001
693	2262	997
694	2265	994
695	2269	991
696	2273	988
697	2275	984
698	2279	981
699	2282	978
700	2285	974
701	2287	971
702	2290	967
703	2293	964
704	2296	960
705	2299	957
706	2303	954
707	2305	950
708	2308	947
709	2310	943
710	2313	940
711	2315	936
712	2318	933
713	2321	930
714	2324	926
715	2327	923
716	2330	919
717	2334	916
718	2337	913
719	2340	910
720	2343	906
721	2346	903
722	2349	900
723	2353	897
724	2356	893
725	2359	890
726	2362	887
727	2365	883
728	2369	880
729	2373	877
730	2376	874
731	2379	871
732	2382	867
733	2386	864
734	2389	861
735	2392	858
736	2395	854
737	2399	851
738	2402	848
739	2405	845
740	2407	841
741	2415	840
742	2418	836
743	2420	832
744	2423	829
745	2427	826
746	2432	823
747	2435	820
748	2439	817
749	2441	813
750	2444	810
751	2448	807
752	2452	804
753	2454	800
754	2457	797
755	2460	794
756	2464	791
757	2468	787
758	2471	784
759	2474	781
760	2477	778
761	2480	774
762	2483	771
763	2486	768
764	2490	764
765	2493	761
766	2498	758
767	2501	755
768	2504	752
769	2507	749
770	2511	745
771	2515	742
772	2518	739
773	2521	736
774	2524	732
775	2527	729
776	2531	726
777	2534	723
778	2537	719
779	2540	716
780	2543	713
781	2547	710
782	2549	706
783	2551	703
784	2554	699
785	2557	696
786	2561	693
787	2564	689
788	2567	686
789	2569	683
790	2573	679
791	2576	676
792	2579	673
793	2582	670
794	2585	666
795	2589	663
796	2593	660
797	2597	657
798	2600	654
799	2603	650
800	2605	647
801	2609	644
802	2613	641
803	2615	637
804	2618	634
805	2620	630
806	2623	627
807	2626	624
808	2629	620
809	2631	617
810	2633	613
811	2636	610
812	2639	607
813	2644	604
814	2646	600
815	2649	597
816	2651	593
817	2654	590
818	2658	587
819	2661	584
820	2664	581
821	2668	577
822	2670	574
823	2674	571
824	2677	568
825	2680	564
826	2683	561
827	2686	558
828	2690	554
829	2693	551
830	2697	548
831	2699	545
832	2702	541
833	2705	538
834	2708	535
835	2712	532
836	2715	528
837	2717	525
838	2720	522
839	2723	518
840	2727	515
841	2730	512
842	2733	509
843	2736	505
844	2740	502
845	2743	499
846	2746	496
847	2749	492
848	2752	489
849	2756	486
850	2760	483
851	2762	479
852	2765	476
853	2768	473
854	2772	470
855	2775	466
856	2778	463
857	2781	460
858	2794	458
859	2806	456
860	2816	454
861	2820	451
862	2824	448
863	2827	445
864	2838	442
865	2843	439
866	2845	436
867	2848	433
868	2851	429
869	2855	426
870	2859	423
871	2861	420
872	2864	416
873	2867	413
874	2871	410
875	2874	406
876	2877	403
877	2880	400
878	2883	396
879	2887	393
880	2890	390
881	2893	387
882	2897	383
883	2900	380
884	2904	377
885	2907	374
886	2909	370
887	2912	367
888	2914	363
889	2917	360
890	2921	357
891	2924	354
892	2927	350
893	2930	347
894	2932	344
895	2936	340
896	2939	337
897	2942	334
898	2945	330
899	2948	327
900	2952	324
901	2955	321
902	2958	317
903	2961	314
904	2964	311
905	2969	308
906	2972	304
907	2975	301
908	2978	298
909	2982	294
910	2986	291
911	2989	288
912	2992	285
913	2995	281
914	2998	278
915	3001	275
916	3004	271
917	3007	268
918	3010	265
919	3012	261
920	3014	258
921	3018	255
922	3021	252
923	3024	248
924	3027	245
925	3029	242
926	3033	238
927	3035	235
928	3038	232
929	3041	228
930	3044	225
931	3047	222
932	3051	219
933	3054	215
934	3057	212
935	3061	209
936	3064	206
937	3067	202
938	3070	199
939	3072	196
940	3075	192
941	3077	189
942	3081	186
943	3084	182
944	3087	179
945	3090	176
946	3094	173
947	3097	169
948	3100	166
949	3102	163
950	3105	160
951	3108	156
952	3112	153
953	3116	150
954	3119	146
955	3122	143
956	3124	140
957	3127	137
958	3131	133
959	3133	130
960	3137	127
961	3142	124
962	3147	120
963	3151	117
964	3153	114
965	3156	111
966	3159	107
967	3164	104
968	3168	101
969	3169	98
970	3172	94
971	3175	91
972	3178	88
973	3181	84
974	3185	81
975	3187	78
976	3190	75
977	3194	71
978	3197	68
979	3200	65
980	3203	62
981	3205	58
982	3208	55
983	3212	52
984	3215	48
985	3218	45
986	3221	42
987	3224	39
988	3228	35
989	3231	32
990	3234	29
991	3237	26
992	3240	22
993	3244	19
994	3247	16
995	3249	13
996	3252	9
997	3254	6
998	3257	3
999	3260	0
