iter	Logloss
215	0.5099714071
216	0.5097209
217	0.5092454501
218	0.5083810254
219	0.5076837165
220	0.5069329789
221	0.5065037231
222	0.505649492
223	0.5051162901
224	0.5045072943
225	0.5039028574
226	0.5035887163
227	0.5030313925
228	0.5026438975
229	0.5021742015
230	0.5010458014
231	0.500570746
232	0.4998092664
233	0.4993165316
234	0.4986805675
235	0.4981115362
236	0.4975530799
237	0.4966015452
238	0.4961015102
239	0.4955558398
240	0.495357117
241	0.4948758569
242	0.4943231771
243	0.4937197822
244	0.4933347922
245	0.4925764526
246	0.4919261749
247	0.4910916108
248	0.4904374849
249	0.4898976221
250	0.4895056454
251	0.4886880739
252	0.4881995909
253	0.4877653501
254	0.4866909853
255	0.4859477156
256	0.4854949583
257	0.4849453027
258	0.4839518568
259	0.4833651952
260	0.482454731
261	0.4820776829
262	0.481557143
263	0.4809993918
264	0.4804945446
265	0.4795338988
266	0.4790861557
267	0.4781164169
268	0.4777404469
269	0.4771341873
270	0.4768552948
271	0.4762349593
272	0.4755291882
273	0.4748305206
274	0.4742524322
275	0.4738396838
276	0.4734136406
277	0.4732771771
278	0.4724612668
279	0.4722004203
280	0.4716969432
281	0.4712390997
282	0.4705022341
283	0.4699227421
284	0.4695879548
285	0.4690378221
286	0.4685307415
287	0.4684314301
288	0.4680759399
289	0.4675560799
290	0.4671805263
291	0.4666964209
292	0.4664768661
293	0.4660109626
294	0.464904211
295	0.4640437052
296	0.4639363138
297	0.4635283425
298	0.4632829597
299	0.4630107527
300	0.4625558519
301	0.4622657872
302	0.461830094
303	0.4612642709
304	0.4605510058
305	0.4601267012
306	0.4597489842
307	0.459114523
308	0.4584592402
309	0.4582034786
310	0.4580248854
311	0.457346578
312	0.4569872906
313	0.456549421
314	0.456201675
315	0.4557131631
316	0.455502421
317	0.4548040174
318	0.4542847181
319	0.4537444504
320	0.453380425
321	0.4530217671
322	0.4526983163
323	0.4519767369
324	0.451561215
325	0.451012944
326	0.4507887336
327	0.4502320945
328	0.4496731969
329	0.4490810704
330	0.448625662
331	0.4478030908
332	0.4474740889
333	0.4469098317
334	0.4466625943
335	0.4462646633
336	0.4457388726
337	0.4456794918
338	0.4453281158
339	0.4448679681
340	0.4441097681
341	0.4440786948
342	0.4438042554
343	0.4436004629
344	0.4432509536
345	0.4427863902
346	0.4423893543
347	0.4413725155
348	0.4411162225
349	0.4408882596
350	0.4406711527
351	0.4402238319
352	0.4392531805
353	0.4388187157
354	0.438344093
355	0.437906006
356	0.4376595989
357	0.4371202109
358	0.4363346027
359	0.4359580188
360	0.435583363
361	0.435126294
362	0.4348416746
363	0.4345846225
364	0.4343979856
365	0.4340145776
366	0.4334912943
367	0.4330661233
368	0.4326008496
369	0.4324252358
370	0.4319646915
371	0.4312699572
372	0.4308542044
373	0.4305059022
374	0.4298845798
375	0.4294315704
376	0.4291457374
377	0.4289662894
378	0.4287297291
379	0.4285729691
380	0.4283098716
381	0.4277208582
382	0.4269949919
383	0.4266794671
384	0.4263918707
385	0.4260334028
386	0.4255577016
387	0.4250833987
388	0.4249190414
389	0.4244131992
390	0.4240769611
391	0.4235661627
392	0.4227952003
393	0.4222134961
394	0.421825929
395	0.4212612891
396	0.4206262467
397	0.4203450094
398	0.4198299596
399	0.4194880857
400	0.419210496
401	0.4187489336
402	0.4182486573
403	0.41760872
404	0.4172672197
405	0.4167906518
406	0.4162662026
407	0.4159139105
408	0.4155875783
409	0.4150158499
410	0.4145630963
411	0.4140392147
412	0.4135759299
413	0.4132744137
414	0.4130021302
415	0.4126366218
416	0.4124551778
417	0.4120207033
418	0.4116374939
419	0.4113802125
420	0.4108511689
421	0.4105384172
422	0.4103133344
423	0.4099678444
424	0.4097379432
425	0.4093398096
426	0.4087983547
427	0.4085001224
428	0.4080546447
429	0.4076858334
430	0.4074566824
431	0.4067577649
432	0.4062202293
433	0.4057936692
434	0.4053388132
435	0.4049205931
436	0.4045096715
437	0.4042545105
438	0.4037981261
439	0.403487731
440	0.4032078089
441	0.4026310397
442	0.4022958797
443	0.401781186
444	0.401530126
445	0.4009079579
446	0.4003730937
447	0.3998351474
448	0.39929526
449	0.3990545428
450	0.398637958
451	0.398326979
452	0.3980678584
453	0.3977360432
454	0.3972145028
455	0.3967430692
456	0.3962981583
457	0.3959696405
458	0.3953390117
459	0.3947821314
460	0.3942829683
461	0.3940022557
462	0.3936257416
463	0.3934179928
464	0.3931193973
465	0.3926113226
466	0.392345844
467	0.3919753238
468	0.3916806298
469	0.3908453072
470	0.3906433594
471	0.3900292655
472	0.3896007411
473	0.3891892271
474	0.3889871728
475	0.3887557868
476	0.3884404243
477	0.3878589414
478	0.387450162
479	0.3869572045
480	0.3865267958
481	0.3860525999
482	0.3855752094
483	0.3853436657
484	0.385057862
485	0.384788975
486	0.3844785359
487	0.3841349959
488	0.3834648044
489	0.3832439625
490	0.3830152285
491	0.3824671854
492	0.381751084
493	0.3812557642
494	0.3809348172
495	0.3805955076
496	0.3802511645
497	0.3798461533
498	0.379587419
499	0.3790851423
500	0.3786681469
501	0.3785058959
502	0.3781204457
503	0.3780694043
504	0.3779673013
505	0.3774638022
506	0.3770878454
507	0.3765728508
508	0.376223901
509	0.3759598854
510	0.3756771799
511	0.3756226518
512	0.375111063
513	0.374720116
514	0.3745743905
515	0.3742244736
516	0.3736477339
517	0.3735045917
518	0.372989267
519	0.3725558929
520	0.3722727167
521	0.3719541585
522	0.3715687429
523	0.3712493722
524	0.3710043669
525	0.370712201
526	0.3701600876
527	0.3697910787
528	0.3695769303
529	0.3691830716
530	0.368687518
531	0.3682341913
532	0.3679139138
533	0.3676906648
534	0.3672711989
535	0.3667761899
536	0.3663358444
537	0.3660539879
538	0.3658826204
539	0.3654598461
540	0.3652728618
541	0.3648540657
542	0.3643515761
543	0.3638812353
544	0.3633890498
545	0.3630500297
546	0.3625064971
547	0.3621561592
548	0.3617911081
549	0.3614648256
550	0.3611892134
551	0.3605803776
552	0.3601236357
553	0.359695375
554	0.3596006983
555	0.3593892134
556	0.3592166005
557	0.358767154
558	0.3587221306
559	0.3584707526
560	0.3581899639
561	0.3579124833
562	0.3574496604
563	0.3570917575
564	0.3566325409
565	0.3561112238
566	0.3554884632
567	0.3551002212
568	0.3546981565
569	0.3545194615
570	0.3539065655
571	0.3536638528
572	0.3532228544
573	0.3528432523
574	0.3524539512
575	0.3518805508
576	0.351608682
577	0.3511462472
578	0.3506513615
579	0.3503171877
580	0.3501753703
581	0.3499158797
582	0.3495622442
583	0.3493795782
584	0.3490662324
585	0.3487811754
586	0.3484342163
587	0.3480472595
588	0.3473809379
589	0.3468343749
590	0.3463297422
591	0.3460631793
592	0.3458429012
593	0.3457194552
594	0.3454256615
595	0.345246625
596	0.3446314909
597	0.3442364795
598	0.343965786
599	0.3435927862
600	0.3434194301
601	0.343271665
602	0.3430850515
603	0.3427188812
604	0.3422189472
605	0.3421440571
606	0.3420475726
607	0.3417760206
608	0.3415856993
609	0.3411137628
610	0.3408569784
611	0.3404352695
612	0.3401030091
613	0.3398464897
614	0.339382914
615	0.3390512718
616	0.3388766262
617	0.3383773442
618	0.3380108295
619	0.3377764504
620	0.3375503206
621	0.3371105226
622	0.3367562358
623	0.3365989961
624	0.3364045775
625	0.3359758662
626	0.3357367798
627	0.3354945151
628	0.3353435765
629	0.3351549483
630	0.3346830542
631	0.3344573748
632	0.3342161127
633	0.333950629
634	0.3336711311
635	0.3334018385
636	0.3329317597
637	0.3324135098
638	0.3322419301
639	0.3318074775
640	0.3313697929
641	0.3311070364
642	0.3308973059
643	0.3305382549
644	0.3299743372
645	0.3297803989
646	0.3296615545
647	0.3289689226
648	0.3287488818
649	0.3281815495
650	0.3277710479
651	0.3275142235
652	0.3273289976
653	0.3270066071
654	0.3267050971
655	0.3262607006
656	0.3259429623
657	0.3256104798
658	0.3254323435
659	0.3253329229
660	0.3252729319
661	0.3248615044
662	0.324666156
663	0.3242915122
664	0.3241040659
665	0.3239140714
666	0.3235649275
667	0.3231577926
668	0.3228188586
669	0.3224608513
670	0.3222089621
671	0.3219520888
672	0.3217606682
673	0.3215920693
674	0.3213589621
675	0.3210760229
676	0.320769821
677	0.3206717927
678	0.3201850323
679	0.3199028837
680	0.3197096757
681	0.3196602016
682	0.3194049561
683	0.319226605
684	0.3188676659
685	0.3184554771
686	0.3182049069
687	0.3176860084
688	0.3174392382
689	0.3171813288
690	0.3167702024
691	0.3164053711
692	0.3160581841
693	0.3156256878
694	0.315549224
695	0.315091879
696	0.3147509665
697	0.3144278769
698	0.3140713918
699	0.3137910461
700	0.3135465875
701	0.3134094248
702	0.3129592746
703	0.3128227019
704	0.312641243
705	0.3123050176
706	0.3120044277
707	0.311723755
708	0.3115127004
709	0.3112675222
710	0.3111666917
711	0.3110767374
712	0.3109273515
713	0.3106204599
714	0.3102759509
715	0.3097950581
716	0.3094839354
717	0.3092798503
718	0.3089887946
719	0.30875306
720	0.3084708052
721	0.3080816731
722	0.3079351491
723	0.3078462636
724	0.30737688
725	0.3071220362
726	0.3070144787
727	0.3066633243
728	0.3064825589
729	0.3063447621
730	0.3061536253
731	0.3059086314
732	0.305546421
733	0.3050847744
734	0.3047144777
735	0.304540022
736	0.3041416602
737	0.3036126168
738	0.3031823861
739	0.3031046164
740	0.302774185
741	0.3027158058
742	0.3023723943
743	0.3020165411
744	0.3017746708
745	0.3016104723
746	0.3013373372
747	0.3009559438
748	0.3007781974
749	0.3006137797
750	0.300364733
751	0.3001671484
752	0.2999462121
753	0.2997582578
754	0.2994466653
755	0.2992277834
756	0.298806995
757	0.2986299603
758	0.2983049077
759	0.2981438782
760	0.2979433884
761	0.2978058086
762	0.2975027459
763	0.2970785795
764	0.2968366922
765	0.2965786015
766	0.2964921904
767	0.2962608393
768	0.2959411321
769	0.2958758251
770	0.2956385106
771	0.2954565551
772	0.2952034876
773	0.2949678062
774	0.2943520603
775	0.2941175894
776	0.2939206101
777	0.2937418148
778	0.2935732662
779	0.2934804367
780	0.2932481047
781	0.2928571554
782	0.2927553322
783	0.292435704
784	0.2922429571
785	0.2919684303
786	0.2917639606
787	0.2914527541
788	0.2911859868
789	0.2908795479
790	0.290750475
791	0.2906317787
792	0.2904613236
793	0.2901587852
794	0.2898296156
795	0.2895672181
796	0.2894481296
797	0.289183644
798	0.2889877365
799	0.288892272
800	0.2886904372
801	0.2883181105
802	0.2879588734
803	0.2877217578
804	0.2874475503
805	0.2871948463
806	0.2867802729
807	0.2865077316
808	0.2863740697
809	0.2861589241
810	0.2858574614
811	0.2856420139
812	0.2853795413
813	0.2851867701
814	0.2850031411
815	0.2847575107
816	0.2847051537
817	0.2846313762
818	0.2844481881
819	0.2841267182
820	0.2839744803
821	0.2837410103
822	0.2834826944
823	0.2832580002
824	0.2830496668
825	0.282870768
826	0.2826892923
827	0.2825721547
828	0.282375872
829	0.2821202696
830	0.2819319759
831	0.2816632105
832	0.2814749717
833	0.2810687072
834	0.2809332139
835	0.2808634239
836	0.2803731236
837	0.2802316932
838	0.2799364898
839	0.2797708547
840	0.2796845154
841	0.2795123619
842	0.2794390592
843	0.2790958372
844	0.2788932668
845	0.2787311153
846	0.2784162773
847	0.2781778555
848	0.2780173159
849	0.2777597497
850	0.2774079662
851	0.2771047622
852	0.2769496848
853	0.276638877
854	0.2763402843
855	0.2760325547
856	0.2758973816
857	0.2756702026
858	0.2752161427
859	0.2749782596
860	0.2745575709
861	0.2742286293
862	0.2740275377
863	0.2738806012
864	0.2738057272
865	0.2735646018
866	0.2734470133
867	0.2731207737
868	0.2726571948
869	0.2724145715
870	0.2721217604
871	0.2720188889
872	0.2716789255
873	0.2714985023
874	0.2713421225
875	0.2710772851
876	0.2709564672
877	0.2708048343
878	0.2705321785
879	0.2702956137
880	0.2699152443
881	0.2696990892
882	0.269478279
883	0.2692920627
884	0.269037124
885	0.2687570672
886	0.2686401467
887	0.2685601641
888	0.2683213367
889	0.2681200032
890	0.2679973953
891	0.2678653818
892	0.2676417491
893	0.2675143906
894	0.2673349271
895	0.267258327
896	0.2670339185
897	0.2669403588
898	0.266690146
899	0.2664137543
900	0.2661662543
901	0.2658554795
902	0.2654923673
903	0.2651832462
904	0.2649628611
905	0.2647930211
906	0.2646801722
907	0.2646137867
908	0.2644582906
909	0.2643404854
910	0.2641219062
911	0.2639830166
912	0.2638613402
913	0.2636571731
914	0.2634663898
915	0.2633642865
916	0.2631198394
917	0.26299859
918	0.2628165382
919	0.2627962273
920	0.262699572
921	0.2624078779
922	0.2621342473
923	0.2619763259
924	0.2617282515
925	0.2615291914
926	0.2614005972
927	0.2611741327
928	0.2610233428
929	0.2608565667
930	0.2606176449
931	0.2602797056
932	0.2601973642
933	0.2601068134
934	0.2598670159
935	0.2597063114
936	0.2596371353
937	0.259584885
938	0.2593189349
939	0.2590784566
940	0.2588120816
941	0.2586777879
942	0.2584296455
943	0.2581140008
944	0.2578193327
945	0.2575707945
946	0.2574249375
947	0.2571765443
948	0.256948403
949	0.2568014301
950	0.2566818525
951	0.2565271732
952	0.2564601508
953	0.2562399984
954	0.2559423029
955	0.255848955
956	0.2556764367
957	0.2555281673
958	0.2552299503
959	0.2548469586
960	0.2546001155
961	0.2543142272
962	0.2540408259
963	0.2539771965
964	0.2538471001
965	0.2535972426
966	0.2532883438
967	0.2530761817
968	0.2529414112
969	0.2529035348
970	0.2527873076
971	0.252524384
972	0.252304616
973	0.2520926644
974	0.2518605239
975	0.2517441696
976	0.2515068172
977	0.2514324187
978	0.2513120794
979	0.2512263792
980	0.2509320403
981	0.2505814716
982	0.2504061198
983	0.2500853356
984	0.2498405711
985	0.249716148
986	0.2495059771
987	0.2492862809
988	0.249131278
989	0.2488548185
990	0.2487135772
991	0.2485879217
992	0.2485230594
993	0.2482851176
994	0.2480619181
995	0.2479763913
996	0.247876434
997	0.2476606777
998	0.2474488403
999	0.2472706699
